,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,duration_ms,genre
8740,0.7709999999999999,0.547,11,-8.884,1,0.191,0.201,0.0002279999999999,0.0769,0.573,150.115,4,254514,Underground Rap
9464,0.7509999999999999,0.7659999999999999,9,-8.118,1,0.2769999999999999,0.00727,0.0,0.216,0.595,193.408,4,225200,Underground Rap
5574,0.897,0.4479999999999999,1,-8.874,1,0.0766,0.000725,1.17e-05,0.365,0.316,145.971,4,204787,Underground Rap
5617,0.88,0.728,10,-6.939,0,0.205,0.136,5.42e-05,0.3379999999999999,0.715,160.976,4,200235,Underground Rap
4799,0.928,0.696,4,-4.972,0,0.0866,0.331,0.0001189999999999,0.121,0.396,189.988,4,165938,Underground Rap
4601,0.5379999999999999,0.7609999999999999,8,-6.954,0,0.1939999999999999,0.0821,0.0,0.102,0.753,169.922,4,193941,Underground Rap
7231,0.54,0.77,1,-3.981,1,0.389,0.1939999999999999,2.7399999999999995e-05,0.372,0.565,159.494,4,204000,Underground Rap
7896,0.872,0.679,7,-8.334,1,0.2769999999999999,0.188,0.0,0.0996,0.588,199.938,4,211200,Underground Rap
7348,0.888,0.906,1,-4.0280000000000005,1,0.365,0.221,0.000474,0.266,0.477,125.033,4,137822,Underground Rap
8888,0.544,0.498,11,-7.621,0,0.0322,0.0458,2.97e-06,0.135,0.173,110.0,4,226000,Underground Rap
5761,0.81,0.401,1,-6.916,1,0.5429999999999999,0.0134,0.0,0.113,0.181,157.99,4,109427,Underground Rap
9796,0.5589999999999999,0.5429999999999999,1,-5.428999999999999,1,0.302,0.00133,2e-05,0.0577,0.337,151.916,4,193000,Underground Rap
8779,0.868,0.365,7,-9.51,1,0.0383,0.433,0.0,0.207,0.471,114.979,4,197217,Underground Rap
8570,0.909,0.573,5,-6.856,1,0.181,0.0332,0.0163,0.657,0.392,144.946,4,134271,Underground Rap
6281,0.72,0.934,10,-2.819,0,0.0712,0.0433,0.0,0.115,0.628,168.00799999999998,4,91429,Underground Rap
5949,0.782,0.713,0,-6.5760000000000005,0,0.0899,0.0619,0.00125,0.108,0.68,159.839,4,218947,Underground Rap
5232,0.765,0.574,5,-8.456,1,0.31,0.0585,0.0,0.22,0.606,140.017,4,147413,Underground Rap
6298,0.754,0.7120000000000001,6,-6.61,0,0.214,0.243,0.0,0.366,0.573,135.153,4,188500,Underground Rap
7580,0.516,0.69,5,-5.546,0,0.4629999999999999,0.521,0.0,0.113,0.597,175.75599999999997,5,120000,Underground Rap
5455,0.88,0.728,8,-7.093,1,0.353,0.0343,0.0,0.0826,0.939,160.032,4,146879,Underground Rap
10124,0.529,0.9,1,-3.503,1,0.418,0.000248,1.21e-05,0.0426,0.434,180.291,4,104591,Underground Rap
7387,0.5920000000000001,0.457,9,-6.081,0,0.0603,0.6609999999999999,0.000331,0.146,0.225,146.04,4,110886,Underground Rap
9275,0.79,0.47,1,-8.594,1,0.223,0.49,0.0,0.0884,0.53,126.992,4,146467,Underground Rap
9344,0.919,0.639,11,-12.179,1,0.0812,0.0344,0.7959999999999999,0.12,0.7609999999999999,130.028,4,253548,Underground Rap
10018,0.77,0.629,5,-8.491,1,0.355,0.18,0.0,0.0906,0.44,173.892,4,149000,Underground Rap
9462,0.54,0.695,1,-8.131,1,0.34,0.0155,0.313,0.135,0.369,178.18099999999998,4,256227,Underground Rap
9321,0.7240000000000001,0.722,10,-7.153,0,0.326,0.0339,0.0,0.132,0.246,145.7,4,184664,Underground Rap
9825,0.8059999999999999,0.7490000000000001,6,-7.064,0,0.392,0.784,0.0,0.546,0.8540000000000001,126.091,4,326496,Underground Rap
7487,0.5760000000000001,0.476,1,-8.902999999999999,1,0.222,0.0233,0.000105,0.18,0.214,107.889,3,118399,Underground Rap
6788,0.757,0.946,5,-4.171,1,0.0447,0.151,0.0,0.295,0.351,140.056,4,111490,Underground Rap
9760,0.8540000000000001,0.416,0,-10.474,1,0.105,0.121,0.213,0.106,0.38,130.002,4,225358,Underground Rap
6240,0.7809999999999999,0.387,10,-12.812,0,0.0595,0.0528,0.00161,0.172,0.114,114.985,4,165833,Underground Rap
9101,0.764,0.492,0,-9.892,0,0.25,0.0591,0.0,0.15,0.174,163.622,4,155559,Underground Rap
9091,0.5670000000000001,0.297,5,-17.703,0,0.042,0.544,0.805,0.111,0.0684,168.61,4,241737,Underground Rap
8672,0.7559999999999999,0.648,0,-5.287000000000001,1,0.0731,0.118,0.0,0.515,0.657,161.958,4,166146,Underground Rap
5624,0.622,0.347,8,-13.292,1,0.0649,0.507,0.00421,0.0841,0.0757,151.024,4,217000,Underground Rap
5084,0.5770000000000001,0.608,7,-9.836,0,0.0586,0.00502,0.253,0.104,0.0579,202.027,4,218702,Underground Rap
7025,0.705,0.643,10,-7.894,0,0.0732,0.316,0.0,0.21,0.303,207.134,4,194783,Underground Rap
8440,0.644,0.5379999999999999,0,-8.2,0,0.4579999999999999,0.314,0.0,0.245,0.476,124.818,4,184426,Underground Rap
6807,0.741,0.428,11,-9.253,1,0.0496,0.246,1.24e-05,0.13,0.0464,130.04399999999998,4,140064,Underground Rap
9056,0.856,0.469,2,-15.032,1,0.259,0.0629,2.27e-06,0.184,0.168,133.003,4,147120,Underground Rap
10100,0.8390000000000001,0.807,1,-6.132000000000001,0,0.3229999999999999,0.0495,0.0,0.0873,0.733,131.95600000000002,4,220909,Underground Rap
6212,0.6659999999999999,0.507,1,-7.104,1,0.248,0.256,1.46e-05,0.1669999999999999,0.0949,181.983,4,158302,Underground Rap
10422,0.367,0.782,2,-9.674,1,0.0366,0.0069,0.501,0.0969,0.201,149.891,4,216846,Underground Rap
5961,0.669,0.74,10,-7.548999999999999,0,0.0354,0.0703,0.0,0.152,0.573,195.98,4,203507,Underground Rap
10165,0.7959999999999999,0.426,1,-13.207,1,0.285,0.356,2.7300000000000003e-05,0.0941,0.649,150.043,4,128014,Underground Rap
