,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,track_id,uri,track_href,analysis_url,duration_ms,time_signature,artist_name,artist_id,track_name,genre
3683,0.706,0.716,7,-4.263,0,0.0768,0.115,0.0,0.316,0.459,136.904,audio_features,4GXl8l1MfZPf2GvpyRPJBf,spotify:track:4GXl8l1MfZPf2GvpyRPJBf,https://api.spotify.com/v1/tracks/4GXl8l1MfZPf2GvpyRPJBf,https://api.spotify.com/v1/audio-analysis/4GXl8l1MfZPf2GvpyRPJBf,252263,4,Young Thug,50co4Is1HCEo8bhOyUWKpn,pick up the phone,hip-hop
3684,0.769,0.818,6,-1.385,0,0.192,0.263,0.0,0.0787,0.918,88.017,audio_features,4E5IFAXCob6QqZaJMTw5YN,spotify:track:4E5IFAXCob6QqZaJMTw5YN,https://api.spotify.com/v1/tracks/4E5IFAXCob6QqZaJMTw5YN,https://api.spotify.com/v1/audio-analysis/4E5IFAXCob6QqZaJMTw5YN,240800,4,G-Unit,6evKD5JWJON3qPBJtUEmtY,Poppin' Them Thangs,hip-hop
3685,0.686,0.73,6,-5.077,0,0.374,0.278,4.76e-05,0.106,0.474,128.943,audio_features,1e4rwBPVI32vZtTJu7mJ4J,spotify:track:1e4rwBPVI32vZtTJu7mJ4J,https://api.spotify.com/v1/tracks/1e4rwBPVI32vZtTJu7mJ4J,https://api.spotify.com/v1/audio-analysis/1e4rwBPVI32vZtTJu7mJ4J,191600,5,Nicki Minaj,0hCNtLu0JehylgoiP8L4Gh,Chun-Li,hip-hop
3686,0.722,0.821,2,-4.167,1,0.172,0.337,2.12e-05,0.15,0.659,73.015,audio_features,3vWxQ6wOfMr8zH1u7pVFI6,spotify:track:3vWxQ6wOfMr8zH1u7pVFI6,https://api.spotify.com/v1/tracks/3vWxQ6wOfMr8zH1u7pVFI6,https://api.spotify.com/v1/audio-analysis/3vWxQ6wOfMr8zH1u7pVFI6,245229,4,Trippie Redd,6Xgp2XMz1fhVYe7i6yNAax,Bust Down,hip-hop
3687,0.681,0.469,2,-10.803,0,0.0366,0.161,0.403,0.108,0.0373,130.022,audio_features,6qcuRcbz8DCLG6nG4or8Uo,spotify:track:6qcuRcbz8DCLG6nG4or8Uo,https://api.spotify.com/v1/tracks/6qcuRcbz8DCLG6nG4or8Uo,https://api.spotify.com/v1/audio-analysis/6qcuRcbz8DCLG6nG4or8Uo,222453,4,Russ,1z7b1Pr1rSlvWRzsW3HOrS,Cherry Hill,hip-hop
3688,0.793,0.83,0,-6.294,1,0.0398,0.538,0.0,0.241,0.962,100.715,audio_features,0FriNBfZnUzIAXRkYH1SHH,spotify:track:0FriNBfZnUzIAXRkYH1SHH,https://api.spotify.com/v1/tracks/0FriNBfZnUzIAXRkYH1SHH,https://api.spotify.com/v1/audio-analysis/0FriNBfZnUzIAXRkYH1SHH,212733,4,Willie Colón,7x5Slu7yTE5icZjNsc3OzW,Che Che Cole,latin
3689,0.683,0.942,7,-4.046,1,0.0306,0.0755,0.0,0.0498,0.663,130.065,audio_features,2arXuCWrLfgcELqYogQDbt,spotify:track:2arXuCWrLfgcELqYogQDbt,https://api.spotify.com/v1/tracks/2arXuCWrLfgcELqYogQDbt,https://api.spotify.com/v1/audio-analysis/2arXuCWrLfgcELqYogQDbt,281933,4,Fey,3uC20p2EoNm5LYtzSVWdkL,Azúcar Amargo,latin
3690,0.759,0.639,4,-8.085,0,0.0511,0.207,0.0,0.23,0.682,128.01,audio_features,1WbXIpiGBJkCiv3hn40iPB,spotify:track:1WbXIpiGBJkCiv3hn40iPB,https://api.spotify.com/v1/tracks/1WbXIpiGBJkCiv3hn40iPB,https://api.spotify.com/v1/audio-analysis/1WbXIpiGBJkCiv3hn40iPB,198332,4,Romeo Santos,5lwmRuXgjX8xIwlnauTZIP,Sobredosis (feat. Ozuna),latin
3691,0.531,0.577,1,-9.363,1,0.0315,0.117,1.28e-05,0.0896,0.498,177.67,audio_features,2cSXotAohYx0EWCNljCzs7,spotify:track:2cSXotAohYx0EWCNljCzs7,https://api.spotify.com/v1/tracks/2cSXotAohYx0EWCNljCzs7,https://api.spotify.com/v1/audio-analysis/2cSXotAohYx0EWCNljCzs7,281227,4,Eros Ramazzotti,61J0BktHv7PuP3tjTPYXSX,Otra Como Tu,latin
3692,0.634,0.854,11,-3.444,1,0.0369,0.00737,2.49e-06,0.0664,0.564,148.003,audio_features,78DVpEWwmJFC25KGz8fJuE,spotify:track:78DVpEWwmJFC25KGz8fJuE,https://api.spotify.com/v1/tracks/78DVpEWwmJFC25KGz8fJuE,https://api.spotify.com/v1/audio-analysis/78DVpEWwmJFC25KGz8fJuE,310813,4,Maná,7okwEbXzyT2VffBmyQBWLz,Clavado En Un Bar,latin
3693,0.824,0.612,11,-9.616,1,0.0372,0.0786,0.0,0.32,0.945,123.998,audio_features,6lFM8kkmpffm0aq2gzEtEK,spotify:track:6lFM8kkmpffm0aq2gzEtEK,https://api.spotify.com/v1/tracks/6lFM8kkmpffm0aq2gzEtEK,https://api.spotify.com/v1/audio-analysis/6lFM8kkmpffm0aq2gzEtEK,228773,4,Aventura,1qto4hHid1P71emI6Fd8xi,Dile al Amor,latin
